time (UTC),latitude (degrees_north),longitude (degrees_east),TEMP_SBE37_MEAN (degree_C)
2021-08-02 18:30:00+00:00,19.5501136,-65.4778816,28.6972
2021-08-02 18:35:00+00:00,19.551656,-65.4781888,28.7139
2021-08-02 18:40:00+00:00,19.5533232,-65.4784448,28.7132
2021-08-02 18:45:00+00:00,19.55496,-65.4786944,28.7108
2021-08-02 18:50:00+00:00,19.5564992,-65.478944,28.6932
2021-08-02 18:55:00+00:00,19.5580384,-65.4792128,28.6993
2021-08-02 19:00:00+00:00,19.5595264,-65.4794624,28.7077
2021-08-02 19:05:00+00:00,19.5609984,-65.4796864,28.7035
2021-08-02 19:10:00+00:00,19.5622432,-65.4799296,28.6917
2021-08-02 19:15:00+00:00,19.5635824,-65.48016,28.6967
2021-08-02 19:20:00+00:00,19.5650592,-65.4803968,28.6826
2021-08-02 19:25:00+00:00,19.56664,-65.4806016,28.6761
2021-08-02 19:30:00+00:00,19.5682464,-65.4808256,28.6851
2021-08-02 19:35:00+00:00,19.5698448,-65.4810432,28.6872
2021-08-02 19:40:00+00:00,19.5713392,-65.4812608,28.6733
2021-08-02 19:45:00+00:00,19.5727376,-65.4814656,28.6936
2021-08-02 19:50:00+00:00,19.574352,-65.481632,28.691
2021-08-02 19:55:00+00:00,19.5759392,-65.4818816,28.6858
2021-08-02 20:00:00+00:00,19.5776768,-65.4821568,28.6916
2021-08-02 20:05:00+00:00,19.5795488,-65.4823872,28.6992
2021-08-02 20:10:00+00:00,19.5811504,-65.482656,28.7085
2021-08-02 20:15:00+00:00,19.5823056,-65.4829888,28.7214
2021-08-02 20:20:00+00:00,19.5835472,-65.483264,28.7095
2021-08-02 20:25:00+00:00,19.5850912,-65.4835328,28.6942
2021-08-02 20:30:00+00:00,19.586536,-65.4837504,28.6816
2021-08-02 20:35:00+00:00,19.587968,-65.4839552,28.6922
2021-08-02 20:40:00+00:00,19.5894576,-65.4841344,28.6838
2021-08-02 20:45:00+00:00,19.5911264,-65.4844416,28.686
2021-08-02 20:50:00+00:00,19.5927568,-65.4846912,28.6898
2021-08-02 20:55:00+00:00,19.5942512,-65.4848512,28.6866
2021-08-02 21:00:00+00:00,19.595872,-65.4850432,28.6802
2021-08-02 21:05:00+00:00,19.5975472,-65.4852032,28.6782
2021-08-02 21:10:00+00:00,19.599096,-65.4854016,28.6753
2021-08-02 21:15:00+00:00,19.6007472,-65.4855872,28.6655
2021-08-02 21:20:00+00:00,19.6025296,-65.4857664,28.6591
2021-08-02 21:25:00+00:00,19.6043152,-65.4859392,28.6442
2021-08-02 21:30:00+00:00,19.6060864,-65.4860608,28.6361
2021-08-02 21:35:00+00:00,19.6078928,-65.4861888,28.6246
2021-08-02 21:40:00+00:00,19.6095984,-65.4863424,28.6185
2021-08-02 21:45:00+00:00,19.6114096,-65.486464,28.6097
2021-08-02 21:50:00+00:00,19.6132064,-65.486624,28.6126
2021-08-02 21:55:00+00:00,19.6147856,-65.4867648,28.6108
2021-08-02 22:00:00+00:00,19.6164608,-65.4868608,28.6169
2021-08-02 22:05:00+00:00,19.618392,-65.4869632,28.6083
2021-08-02 22:10:00+00:00,19.6200544,-65.4870528,28.6186
2021-08-02 22:15:00+00:00,19.6217728,-65.4871872,28.6058
2021-08-02 22:20:00+00:00,19.6238512,-65.4873408,28.5968
2021-08-02 22:25:00+00:00,19.6255152,-65.4875136,28.5974
2021-08-02 22:30:00+00:00,19.6270816,-65.487648,28.6029
2021-08-02 22:35:00+00:00,19.6286848,-65.4878144,28.5955
2021-08-02 22:40:00+00:00,19.6302368,-65.488,28.5896
2021-08-02 22:45:00+00:00,19.631856,-65.4881536,28.5777
2021-08-02 22:50:00+00:00,19.6336272,-65.4882496,28.5808
2021-08-02 22:55:00+00:00,19.63524,-65.488384,28.5794
2021-08-02 23:00:00+00:00,19.6368944,-65.4885504,28.584
